volunteer_id,data_type,filename,check_level,check_name,status,reason,frame_index
211,face_rgb,211_face_rgb.mp4,video,check_container,PASS,"container ok (.mp4, 3 channels, codec=FMP4)",
211,face_rgb,211_face_rgb.mp4,video,check_fps,PASS,fps=30.00 >= 5,
211,face_rgb,211_face_rgb.mp4,video,check_duration,PASS,duration=47.8 >= 40,
211,face_rgb,211_face_rgb.mp4,video,check_resolution,PASS,resolution=1920x1080 >= 180x180,
211,face_rgb,211_face_rgb.mp4,frame,check_face_detected,PASS,frame=0 face ok,0
211,face_rgb,211_face_rgb.mp4,frame,check_head_fully,PASS,frame=0 Head is fully visible,0
211,face_rgb,211_face_rgb.mp4,frame,check_face_size,PASS,frame=0 face=560x700 >= 180x180,0
211,face_rgb,211_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=0 eyes open (L=0.38, R=0.39 > 0.25)",0
211,face_rgb,211_face_rgb.mp4,frame,check_face_blur,PASS,frame=0 blur variance=248.5 >= 90,0
211,face_rgb,211_face_rgb.mp4,frame,check_brightness,PASS,frame=0 brightness=150 status=normal,0
211,face_rgb,211_face_rgb.mp4,frame,check_face_detected,PASS,frame=6 face ok,6
211,face_rgb,211_face_rgb.mp4,frame,check_head_fully,PASS,frame=6 Head is fully visible,6
211,face_rgb,211_face_rgb.mp4,frame,check_face_size,PASS,frame=6 face=557x698 >= 180x180,6
211,face_rgb,211_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=6 eyes open (L=0.39, R=0.38 > 0.25)",6
211,face_rgb,211_face_rgb.mp4,frame,check_face_blur,PASS,frame=6 blur variance=204.8 >= 90,6
211,face_rgb,211_face_rgb.mp4,frame,check_brightness,PASS,frame=6 brightness=150 status=normal,6
211,face_rgb,211_face_rgb.mp4,frame,check_face_detected,PASS,frame=12 face ok,12
211,face_rgb,211_face_rgb.mp4,frame,check_head_fully,PASS,frame=12 Head is fully visible,12
211,face_rgb,211_face_rgb.mp4,frame,check_face_size,PASS,frame=12 face=558x701 >= 180x180,12
211,face_rgb,211_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=12 eyes open (L=0.38, R=0.38 > 0.25)",12
211,face_rgb,211_face_rgb.mp4,frame,check_face_blur,PASS,frame=12 blur variance=253.8 >= 90,12
211,face_rgb,211_face_rgb.mp4,frame,check_brightness,PASS,frame=12 brightness=151 status=normal,12
211,face_rgb,211_face_rgb.mp4,frame,check_face_detected,PASS,frame=18 face ok,18
211,face_rgb,211_face_rgb.mp4,frame,check_head_fully,PASS,frame=18 Head is fully visible,18
211,face_rgb,211_face_rgb.mp4,frame,check_face_size,PASS,frame=18 face=557x692 >= 180x180,18
211,face_rgb,211_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=18 eyes open (L=0.39, R=0.39 > 0.25)",18
211,face_rgb,211_face_rgb.mp4,frame,check_face_blur,PASS,frame=18 blur variance=220.2 >= 90,18
211,face_rgb,211_face_rgb.mp4,frame,check_brightness,PASS,frame=18 brightness=151 status=normal,18
