volunteer_id,data_type,filename,check_level,check_name,status,reason,frame_index
208,face_rgb,208_face_rgb.mp4,video,check_container,PASS,"container ok (.mp4, 3 channels, codec=h264)",
208,face_rgb,208_face_rgb.mp4,video,check_fps,PASS,fps=54.55 >= 5,
208,face_rgb,208_face_rgb.mp4,video,check_duration,PASS,duration=44.8 >= 40,
208,face_rgb,208_face_rgb.mp4,video,check_resolution,PASS,resolution=1920x1080 >= 180x180,
208,face_rgb,208_face_rgb.mp4,frame,check_face_detected,PASS,frame=0 face ok,0
208,face_rgb,208_face_rgb.mp4,frame,check_head_fully,FAIL,frame=0 Chin might be cut,0
208,face_rgb,208_face_rgb.mp4,frame,check_face_size,PASS,frame=0 face=876x848 >= 180x180,0
208,face_rgb,208_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=0 eyes open (L=0.38, R=0.38 > 0.25)",0
208,face_rgb,208_face_rgb.mp4,frame,check_face_blur,FAIL,frame=0 blur variance=9.0 < 90,0
208,face_rgb,208_face_rgb.mp4,frame,check_brightness,PASS,frame=0 brightness=149 status=normal,0
208,face_rgb,208_face_rgb.mp4,frame,check_face_detected,PASS,frame=11 face ok,11
208,face_rgb,208_face_rgb.mp4,frame,check_head_fully,FAIL,frame=11 Chin might be cut,11
208,face_rgb,208_face_rgb.mp4,frame,check_face_size,PASS,frame=11 face=872x849 >= 180x180,11
208,face_rgb,208_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=11 eyes open (L=0.38, R=0.38 > 0.25)",11
208,face_rgb,208_face_rgb.mp4,frame,check_face_blur,FAIL,frame=11 blur variance=9.6 < 90,11
208,face_rgb,208_face_rgb.mp4,frame,check_brightness,PASS,frame=11 brightness=149 status=normal,11
208,face_rgb,208_face_rgb.mp4,frame,check_face_detected,PASS,frame=22 face ok,22
208,face_rgb,208_face_rgb.mp4,frame,check_head_fully,FAIL,frame=22 Chin might be cut,22
208,face_rgb,208_face_rgb.mp4,frame,check_face_size,PASS,frame=22 face=872x849 >= 180x180,22
208,face_rgb,208_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=22 eyes open (L=0.38, R=0.38 > 0.25)",22
208,face_rgb,208_face_rgb.mp4,frame,check_face_blur,FAIL,frame=22 blur variance=9.6 < 90,22
208,face_rgb,208_face_rgb.mp4,frame,check_brightness,PASS,frame=22 brightness=149 status=normal,22
208,face_rgb,208_face_rgb.mp4,frame,check_face_detected,PASS,frame=33 face ok,33
208,face_rgb,208_face_rgb.mp4,frame,check_head_fully,FAIL,frame=33 Chin might be cut,33
208,face_rgb,208_face_rgb.mp4,frame,check_face_size,PASS,frame=33 face=872x849 >= 180x180,33
208,face_rgb,208_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=33 eyes open (L=0.38, R=0.38 > 0.25)",33
208,face_rgb,208_face_rgb.mp4,frame,check_face_blur,FAIL,frame=33 blur variance=9.6 < 90,33
208,face_rgb,208_face_rgb.mp4,frame,check_brightness,PASS,frame=33 brightness=149 status=normal,33
208,face_rgb,208_face_rgb.mp4,frame,check_face_detected,PASS,frame=44 face ok,44
208,face_rgb,208_face_rgb.mp4,frame,check_head_fully,FAIL,frame=44 Chin might be cut,44
208,face_rgb,208_face_rgb.mp4,frame,check_face_size,PASS,frame=44 face=904x849 >= 180x180,44
208,face_rgb,208_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=44 eyes open (L=0.38, R=0.37 > 0.25)",44
208,face_rgb,208_face_rgb.mp4,frame,check_face_blur,FAIL,frame=44 blur variance=10.3 < 90,44
208,face_rgb,208_face_rgb.mp4,frame,check_brightness,PASS,frame=44 brightness=149 status=normal,44
208,face_rgb,208_face_rgb.mp4,frame,check_face_detected,PASS,frame=55 face ok,55
208,face_rgb,208_face_rgb.mp4,frame,check_head_fully,FAIL,frame=55 Chin might be cut,55
208,face_rgb,208_face_rgb.mp4,frame,check_face_size,PASS,frame=55 face=907x849 >= 180x180,55
208,face_rgb,208_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=55 eyes open (L=0.37, R=0.38 > 0.25)",55
208,face_rgb,208_face_rgb.mp4,frame,check_face_blur,FAIL,frame=55 blur variance=11.6 < 90,55
208,face_rgb,208_face_rgb.mp4,frame,check_brightness,PASS,frame=55 brightness=148 status=normal,55
208,face_rgb,208_face_rgb.mp4,frame,check_face_detected,PASS,frame=66 face ok,66
208,face_rgb,208_face_rgb.mp4,frame,check_head_fully,FAIL,frame=66 Chin might be cut,66
208,face_rgb,208_face_rgb.mp4,frame,check_face_size,PASS,frame=66 face=912x853 >= 180x180,66
208,face_rgb,208_face_rgb.mp4,frame,check_eyes_open,PASS,"frame=66 eyes open (L=0.37, R=0.39 > 0.25)",66
208,face_rgb,208_face_rgb.mp4,frame,check_face_blur,FAIL,frame=66 blur variance=12.6 < 90,66
208,face_rgb,208_face_rgb.mp4,frame,check_brightness,PASS,frame=66 brightness=148 status=normal,66
208,face_rgb,208_face_rgb.mp4,frame,check_face_detected,PASS,frame=77 face ok,77
208,face_rgb,208_face_rgb.mp4,frame,check_head_fully,FAIL,frame=77 Chin might be cut,77
