volunteer,status,issue_type,item,path
205,INCOMPLETE,missing,palm_L_N,
205,INCOMPLETE,missing,palm_L_RL,
205,INCOMPLETE,missing,palm_L_RR,
205,INCOMPLETE,missing,palm_L_PU,
205,INCOMPLETE,missing,palm_L_PD,
205,INCOMPLETE,missing,palm_R_N,
205,INCOMPLETE,missing,palm_R_RL,
205,INCOMPLETE,missing,palm_R_RR,
205,INCOMPLETE,missing,palm_R_PU,
205,INCOMPLETE,missing,palm_R_PD,
205,INCOMPLETE,missing,walk_F,
205,INCOMPLETE,missing,walk_S,
208,INCOMPLETE,missing,face_depth,
208,INCOMPLETE,missing,face_ir1,
208,INCOMPLETE,missing,face_ir2,
208,INCOMPLETE,missing,face_thermal,
208,INCOMPLETE,missing,palm_L_N,
208,INCOMPLETE,missing,palm_L_RL,
208,INCOMPLETE,missing,palm_L_RR,
208,INCOMPLETE,missing,palm_L_PU,
208,INCOMPLETE,missing,palm_L_PD,
208,INCOMPLETE,missing,palm_R_N,
208,INCOMPLETE,missing,palm_R_RL,
208,INCOMPLETE,missing,palm_R_RR,
208,INCOMPLETE,missing,palm_R_PU,
208,INCOMPLETE,missing,palm_R_PD,
208,INCOMPLETE,missing,walk_F,
208,INCOMPLETE,missing,walk_S,
211,INCOMPLETE,missing,face_depth,
211,INCOMPLETE,missing,face_ir1,
211,INCOMPLETE,missing,face_ir2,
211,INCOMPLETE,missing,face_thermal,
211,INCOMPLETE,missing,palm_L_N,
211,INCOMPLETE,missing,palm_L_RL,
211,INCOMPLETE,missing,palm_L_RR,
211,INCOMPLETE,missing,palm_L_PU,
211,INCOMPLETE,missing,palm_L_PD,
211,INCOMPLETE,missing,palm_R_N,
211,INCOMPLETE,missing,palm_R_RL,
211,INCOMPLETE,missing,palm_R_RR,
211,INCOMPLETE,missing,palm_R_PU,
211,INCOMPLETE,missing,palm_R_PD,
211,INCOMPLETE,missing,walk_F,
211,INCOMPLETE,missing,walk_S,
30032,COMPLETE,,,
405,INCOMPLETE,missing,face_depth,
405,INCOMPLETE,missing,face_ir1,
405,INCOMPLETE,missing,face_ir2,
405,INCOMPLETE,missing,face_thermal,
405,INCOMPLETE,missing,palm_L_N,
405,INCOMPLETE,missing,palm_L_RL,
405,INCOMPLETE,missing,palm_L_RR,
405,INCOMPLETE,missing,palm_L_PU,
405,INCOMPLETE,missing,palm_L_PD,
405,INCOMPLETE,missing,palm_R_N,
405,INCOMPLETE,missing,palm_R_RL,
405,INCOMPLETE,missing,palm_R_RR,
405,INCOMPLETE,missing,palm_R_PU,
405,INCOMPLETE,missing,palm_R_PD,
405,INCOMPLETE,missing,walk_F,
405,INCOMPLETE,missing,walk_S,
56789,INCOMPLETE,missing,face_rgb,
56789,INCOMPLETE,missing,face_depth,
56789,INCOMPLETE,missing,face_ir1,
56789,INCOMPLETE,missing,face_ir2,
56789,INCOMPLETE,missing,face_thermal,
56789,INCOMPLETE,missing,palm_L_N,
56789,INCOMPLETE,missing,palm_L_RL,
56789,INCOMPLETE,missing,palm_L_RR,
56789,INCOMPLETE,missing,palm_L_PU,
56789,INCOMPLETE,missing,palm_L_PD,
56789,INCOMPLETE,missing,palm_R_N,
56789,INCOMPLETE,missing,palm_R_RL,
56789,INCOMPLETE,missing,palm_R_RR,
56789,INCOMPLETE,missing,palm_R_PU,
56789,INCOMPLETE,missing,palm_R_PD,
56789,INCOMPLETE,missing,walk_F,
56789,INCOMPLETE,missing,walk_S,
002,UNRECOGNISED,unrecognised,,data\002_face_rgb_flipped.mp4
002,UNRECOGNISED,unrecognised,,data\002_face_rgb_lowfps.mp4
107,UNRECOGNISED,unrecognised,,data\107_face_rgb.jpg
56789,UNRECOGNISED,unrecognised,,data\56789_face_RGB.mp4
UNKNOWN,UNRECOGNISED,unrecognised,,data\_face_rgb.mp4
UNKNOWN,UNRECOGNISED,unrecognised,,"data\strange,'.mp4"
