volunteer_id,data_type,filename,frame_index,time,check_level,check_name,status,reason
002,face_rgb,002_face_rgb.mp4,42,1.400,frame,check_face_detected,PASS,frame=42 face detected
002,face_rgb,002_face_rgb.mp4,42,1.400,frame,check_head_fully,PASS,frame=42 Head is fully visible
002,face_rgb,002_face_rgb.mp4,42,1.400,frame,check_face_size,PASS,frame=42 face=555x650 >= 180x180
002,face_rgb,002_face_rgb.mp4,42,1.400,frame,check_eyes_open,FAIL,"frame=42 eye(s) closed (blinkL=0.65, blinkR=0.53 >= 0.5)"
002,face_rgb,002_face_rgb.mp4,42,1.400,frame,check_face_blur,PASS,frame=42 blur variance=217.5 >= 90
002,face_rgb,002_face_rgb.mp4,42,1.400,frame,check_brightness,PASS,frame=42 brightness normal; 35 <= 156 <= 200
002,face_rgb,002_face_rgb.mp4,48,1.600,frame,check_face_detected,PASS,frame=48 face detected
002,face_rgb,002_face_rgb.mp4,48,1.600,frame,check_head_fully,PASS,frame=48 Head is fully visible
002,face_rgb,002_face_rgb.mp4,48,1.600,frame,check_face_size,PASS,frame=48 face=554x666 >= 180x180
002,face_rgb,002_face_rgb.mp4,48,1.600,frame,check_eyes_open,FAIL,"frame=48 eye(s) closed (blinkL=0.71, blinkR=0.59 >= 0.5)"
002,face_rgb,002_face_rgb.mp4,48,1.600,frame,check_face_blur,PASS,frame=48 blur variance=240.1 >= 90
002,face_rgb,002_face_rgb.mp4,48,1.600,frame,check_brightness,PASS,frame=48 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,54,1.800,frame,check_face_detected,PASS,frame=54 face detected
002,face_rgb,002_face_rgb.mp4,54,1.800,frame,check_head_fully,PASS,frame=54 Head is fully visible
002,face_rgb,002_face_rgb.mp4,54,1.800,frame,check_face_size,PASS,frame=54 face=549x681 >= 180x180
002,face_rgb,002_face_rgb.mp4,54,1.800,frame,check_eyes_open,PASS,"frame=54 eyes open (blinkL=0.12, blinkR=0.14 < 0.5)"
002,face_rgb,002_face_rgb.mp4,54,1.800,frame,check_face_blur,PASS,frame=54 blur variance=240.2 >= 90
002,face_rgb,002_face_rgb.mp4,54,1.800,frame,check_brightness,PASS,frame=54 brightness normal; 35 <= 159 <= 200
002,face_rgb,002_face_rgb.mp4,60,2.000,frame,check_face_detected,PASS,frame=60 face detected
002,face_rgb,002_face_rgb.mp4,60,2.000,frame,check_head_fully,PASS,frame=60 Head is fully visible
002,face_rgb,002_face_rgb.mp4,60,2.000,frame,check_face_size,PASS,frame=60 face=553x685 >= 180x180
002,face_rgb,002_face_rgb.mp4,60,2.000,frame,check_eyes_open,PASS,"frame=60 eyes open (blinkL=0.11, blinkR=0.12 < 0.5)"
002,face_rgb,002_face_rgb.mp4,60,2.000,frame,check_face_blur,PASS,frame=60 blur variance=253.1 >= 90
002,face_rgb,002_face_rgb.mp4,60,2.000,frame,check_brightness,PASS,frame=60 brightness normal; 35 <= 159 <= 200
002,face_rgb,002_face_rgb.mp4,66,2.200,frame,check_face_detected,PASS,frame=66 face detected
002,face_rgb,002_face_rgb.mp4,66,2.200,frame,check_head_fully,PASS,frame=66 Head is fully visible
002,face_rgb,002_face_rgb.mp4,66,2.200,frame,check_face_size,PASS,frame=66 face=552x690 >= 180x180
002,face_rgb,002_face_rgb.mp4,66,2.200,frame,check_eyes_open,PASS,"frame=66 eyes open (blinkL=0.12, blinkR=0.15 < 0.5)"
002,face_rgb,002_face_rgb.mp4,66,2.200,frame,check_face_blur,PASS,frame=66 blur variance=280.6 >= 90
002,face_rgb,002_face_rgb.mp4,66,2.200,frame,check_brightness,PASS,frame=66 brightness normal; 35 <= 159 <= 200
002,face_rgb,002_face_rgb.mp4,72,2.400,frame,check_face_detected,PASS,frame=72 face detected
002,face_rgb,002_face_rgb.mp4,72,2.400,frame,check_head_fully,PASS,frame=72 Head is fully visible
002,face_rgb,002_face_rgb.mp4,72,2.400,frame,check_face_size,PASS,frame=72 face=554x690 >= 180x180
