volunteer_id,data_type,file_name,frame_index,time,label_width,label_height,yaw,pitch,roll
002,face_rgb,002_face_rgb.mp4,378,12.600,505,576,-70.0,5.8,12.7
002,face_rgb,002_face_rgb.mp4,384,12.800,516,561,-73.3,4.0,12.2
002,face_rgb,002_face_rgb.mp4,390,13.000,506,573,-70.8,3.9,8.6
002,face_rgb,002_face_rgb.mp4,396,13.200,512,583,-72.0,5.2,7.9
002,face_rgb,002_face_rgb.mp4,402,13.400,498,588,-70.2,5.1,6.0
002,face_rgb,002_face_rgb.mp4,408,13.600,506,565,-70.2,5.1,6.3
002,face_rgb,002_face_rgb.mp4,414,13.800,497,589,-80.1,9.4,10.5
002,face_rgb,002_face_rgb.mp4,420,14.000,497,582,-77.9,7.4,9.1
002,face_rgb,002_face_rgb.mp4,426,14.200,488,601,-77.6,8.3,6.6
002,face_rgb,002_face_rgb.mp4,432,14.400,501,576,-71.7,4.0,6.4
002,face_rgb,002_face_rgb.mp4,438,14.600,496,567,-66.2,2.9,8.5
002,face_rgb,002_face_rgb.mp4,444,14.800,519,629,-50.8,1.4,-0.1
002,face_rgb,002_face_rgb.mp4,450,15.000,546,674,-25.1,2.2,0.8
002,face_rgb,002_face_rgb.mp4,456,15.200,546,679,-9.5,1.7,0.1
002,face_rgb,002_face_rgb.mp4,462,15.400,541,684,2.5,0.6,0.9
002,face_rgb,002_face_rgb.mp4,468,15.600,546,688,10.2,-0.6,-0.0
002,face_rgb,002_face_rgb.mp4,474,15.800,554,689,13.0,-0.2,-0.3
002,face_rgb,002_face_rgb.mp4,480,16.000,549,680,12.2,-0.6,0.3
002,face_rgb,002_face_rgb.mp4,486,16.200,547,681,10.1,-0.7,0.7
002,face_rgb,002_face_rgb.mp4,492,16.400,549,689,8.6,-1.4,1.3
002,face_rgb,002_face_rgb.mp4,498,16.600,545,690,5.4,-1.8,1.8
002,face_rgb,002_face_rgb.mp4,504,16.800,544,690,4.6,-2.1,1.5
002,face_rgb,002_face_rgb.mp4,510,17.000,544,690,4.6,-2.4,1.4
002,face_rgb,002_face_rgb.mp4,516,17.200,543,689,4.4,-2.1,1.7
002,face_rgb,002_face_rgb.mp4,522,17.400,544,689,4.1,-2.1,1.9
002,face_rgb,002_face_rgb.mp4,528,17.600,546,692,4.2,-1.7,1.7
002,face_rgb,002_face_rgb.mp4,534,17.800,544,690,4.7,-1.6,2.1
002,face_rgb,002_face_rgb.mp4,540,18.000,544,690,4.6,-1.7,2.1
002,face_rgb,002_face_rgb.mp4,546,18.200,545,691,4.5,-1.8,2.2
002,face_rgb,002_face_rgb.mp4,552,18.400,541,688,3.8,-2.5,1.8
002,face_rgb,002_face_rgb.mp4,558,18.600,542,690,3.3,-2.3,1.8
002,face_rgb,002_face_rgb.mp4,564,18.800,544,690,3.9,-2.0,2.0
002,face_rgb,002_face_rgb.mp4,570,19.000,548,688,8.1,-2.0,0.7
002,face_rgb,002_face_rgb.mp4,576,19.200,548,677,25.2,0.4,-1.9
002,face_rgb,002_face_rgb.mp4,582,19.400,534,654,40.5,-2.9,-2.4
002,face_rgb,002_face_rgb.mp4,588,19.600,505,619,63.3,-1.9,-8.5
002,face_rgb,002_face_rgb.mp4,594,19.800,492,591,76.5,-3.4,-7.8
002,face_rgb,002_face_rgb.mp4,600,20.000,,,,,
002,face_rgb,002_face_rgb.mp4,606,20.200,,,,,
002,face_rgb,002_face_rgb.mp4,612,20.400,,,,,
002,face_rgb,002_face_rgb.mp4,618,20.600,,,,,
002,face_rgb,002_face_rgb.mp4,624,20.800,,,,,
002,face_rgb,002_face_rgb.mp4,630,21.000,,,,,
002,face_rgb,002_face_rgb.mp4,636,21.200,,,,,
002,face_rgb,002_face_rgb.mp4,642,21.400,,,,,
002,face_rgb,002_face_rgb.mp4,648,21.600,,,,,
002,face_rgb,002_face_rgb.mp4,654,21.800,,,,,
002,face_rgb,002_face_rgb.mp4,660,22.000,,,,,
002,face_rgb,002_face_rgb.mp4,666,22.200,,,,,
002,face_rgb,002_face_rgb.mp4,672,22.400,,,,,
002,face_rgb,002_face_rgb.mp4,678,22.600,,,,,
002,face_rgb,002_face_rgb.mp4,684,22.800,,,,,
002,face_rgb,002_face_rgb.mp4,690,23.000,,,,,
002,face_rgb,002_face_rgb.mp4,696,23.200,,,,,
002,face_rgb,002_face_rgb.mp4,702,23.400,,,,,
002,face_rgb,002_face_rgb.mp4,708,23.600,,,,,
002,face_rgb,002_face_rgb.mp4,714,23.800,523,590,74.6,-7.5,-0.2
002,face_rgb,002_face_rgb.mp4,720,24.000,530,651,45.7,-3.2,5.6
002,face_rgb,002_face_rgb.mp4,726,24.200,544,667,27.3,0.9,7.7
002,face_rgb,002_face_rgb.mp4,732,24.400,540,669,12.8,1.8,7.3
002,face_rgb,002_face_rgb.mp4,738,24.600,533,674,3.2,1.6,6.0
002,face_rgb,002_face_rgb.mp4,744,24.800,533,675,-1.0,0.4,3.9
002,face_rgb,002_face_rgb.mp4,750,25.000,537,679,-3.9,-0.5,3.0
002,face_rgb,002_face_rgb.mp4,756,25.200,540,686,-1.5,-0.7,1.7
002,face_rgb,002_face_rgb.mp4,762,25.400,537,684,-0.8,-0.8,1.7
