volunteer_id,data_type,filename,check_level,check_name,final_status,total,pass,fail,review,skip,reason,frames_sampled,detection_gaps,yaw_min,yaw_max,pitch_min,pitch_max
001,face_rgb,001_face_rgb.mp4,video,check_container,PASS,1,1,0,0,0,"container ok (.mp4, 3 channels, codec=FMP4)",,,,,,
001,face_rgb,001_face_rgb.mp4,video,check_duration,FAIL,1,0,1,0,0,duration=25.8 < 40,,,,,,
001,face_rgb,001_face_rgb.mp4,video,check_fps,PASS,1,1,0,0,0,fps=5.00 >= 5,,,,,,
001,face_rgb,001_face_rgb.mp4,video,check_resolution,PASS,1,1,0,0,0,resolution=640x480 >= 180x180,,,,,,
001,face_rgb,001_face_rgb.mp4,video,frames_sampled,PASS,1,1,0,0,0,sampled 27 frames,,,,,,
001,face_rgb,001_face_rgb.mp4,sequence,check_turn_sequence,FAIL,1,0,1,0,0,"structure mismatch; present=['left', 'right', 'down', 'up']; missing=none; short_holds=2; unconfirmed_gap=False",,,,,,
001,face_rgb,001_face_rgb.mp4,sequence,check_turn_sequence_down,PASS,1,1,0,0,0,down: present as a segment,,,,,,
001,face_rgb,001_face_rgb.mp4,sequence,check_turn_sequence_front_hold,FAIL,2,0,2,0,0,front held 1 frame(s) < 2 (too short),,,,,,
001,face_rgb,001_face_rgb.mp4,sequence,check_turn_sequence_left,PASS,1,1,0,0,0,left: present as a segment,,,,,,
001,face_rgb,001_face_rgb.mp4,sequence,check_turn_sequence_right,PASS,1,1,0,0,0,right: present as a segment,,,,,,
001,face_rgb,001_face_rgb.mp4,sequence,check_turn_sequence_structure,FAIL,1,0,1,0,0,observed: front -> left -> right -> front -> up -> down -> front; matches no accepted order,,,,,,
001,face_rgb,001_face_rgb.mp4,sequence,check_turn_sequence_up,PASS,1,1,0,0,0,up: present as a segment,,,,,,
001,face_rgb,001_face_rgb.mp4,frame,check_brightness,PASS,27,18,0,0,9,frame=25 non-frontal (label=left); not judged [judged fail-ratio=0% (max 25%)],,,,,,
001,face_rgb,001_face_rgb.mp4,frame,check_eyes_open,PASS,27,18,0,0,9,frame=25 non-frontal (label=left); not judged [judged fail-ratio=0% (max 25%)],,,,,,
001,face_rgb,001_face_rgb.mp4,frame,check_face_blur,PASS,27,18,0,0,9,frame=25 non-frontal (label=left); not judged [judged fail-ratio=0% (max 25%)],,,,,,
001,face_rgb,001_face_rgb.mp4,frame,check_face_detected,PASS,27,27,0,0,0,frame=0 face ok [judged fail-ratio=0% (max 25%)],,,,,,
001,face_rgb,001_face_rgb.mp4,frame,check_face_size,FAIL,27,0,18,0,9,frame=0 face=172x210 < 180x180 [judged fail-ratio=100% (max 25%)],,,,,,
001,face_rgb,001_face_rgb.mp4,frame,check_head_fully,PASS,27,27,0,0,0,frame=0 Head is fully visible [judged fail-ratio=0% (max 25%)],,,,,,
001,face_rgb,001_face_rgb.mp4,overall,OVERALL,FAIL,18,13,5,0,0,"failed checks: check_duration, check_turn_sequence, check_turn_sequence_front_hold, check_turn_sequence_structure, check_face_size",27,0,-54.3,52.9,-55.1,53.0
