volunteer_id,data_type,filename,check_level,check_name,final_status,total,pass,fail,review,skip,reason,frames_sampled,detection_gaps,yaw_min,yaw_max,pitch_min,pitch_max
104,face_rgb,104_face_rgb.mp4,video,check_container,PASS,1,1,0,0,0,"container ok (.mp4, 3 channels, codec=h264)",,,,,,
104,face_rgb,104_face_rgb.mp4,video,check_duration,PASS,1,1,0,0,0,duration=50.3 >= 40,,,,,,
104,face_rgb,104_face_rgb.mp4,video,check_fps,PASS,1,1,0,0,0,fps=59.98 >= 5,,,,,,
104,face_rgb,104_face_rgb.mp4,video,check_resolution,PASS,1,1,0,0,0,resolution=1080x1080 >= 180x180,,,,,,
104,face_rgb,104_face_rgb.mp4,video,frames_sampled,PASS,1,1,0,0,0,sampled 252 frames,,,,,,
104,face_rgb,104_face_rgb.mp4,sequence,check_turn_sequence,FAIL,1,0,1,0,0,"structure mismatch; present=none; missing=['left', 'right', 'down', 'up']; short_holds=0; unconfirmed_gap=False",,,,,,
104,face_rgb,104_face_rgb.mp4,sequence,check_turn_sequence_down,FAIL,1,0,1,0,0,down: not present in segments,,,,,,
104,face_rgb,104_face_rgb.mp4,sequence,check_turn_sequence_left,FAIL,1,0,1,0,0,left: not present in segments,,,,,,
104,face_rgb,104_face_rgb.mp4,sequence,check_turn_sequence_right,FAIL,1,0,1,0,0,right: not present in segments,,,,,,
104,face_rgb,104_face_rgb.mp4,sequence,check_turn_sequence_structure,REVIEW,1,0,0,1,0,observed: front; matches no accepted order,,,,,,
104,face_rgb,104_face_rgb.mp4,sequence,check_turn_sequence_up,FAIL,1,0,1,0,0,up: not present in segments,,,,,,
104,face_rgb,104_face_rgb.mp4,frame,check_brightness,PASS,252,252,0,0,0,frame=0 brightness=148 status=normal [judged fail-ratio=0% (max 25%)],,,,,,
104,face_rgb,104_face_rgb.mp4,frame,check_eyes_open,PASS,252,252,0,0,0,"frame=0 eyes open (L=0.37, R=0.37 > 0.25) [judged fail-ratio=0% (max 25%)]",,,,,,
104,face_rgb,104_face_rgb.mp4,frame,check_face_blur,PASS,252,252,0,0,0,frame=0 blur variance=307.2 >= 90 [judged fail-ratio=0% (max 25%)],,,,,,
104,face_rgb,104_face_rgb.mp4,frame,check_face_detected,PASS,252,252,0,0,0,frame=0 face ok [judged fail-ratio=0% (max 25%)],,,,,,
104,face_rgb,104_face_rgb.mp4,frame,check_face_size,PASS,252,252,0,0,0,frame=0 face=525x633 >= 180x180 [judged fail-ratio=0% (max 25%)],,,,,,
104,face_rgb,104_face_rgb.mp4,frame,check_head_fully,PASS,252,252,0,0,0,frame=0 Head is fully visible [judged fail-ratio=0% (max 25%)],,,,,,
104,face_rgb,104_face_rgb.mp4,overall,OVERALL,FAIL,17,11,5,1,0,"failed checks: check_turn_sequence, check_turn_sequence_down, check_turn_sequence_left, check_turn_sequence_right, check_turn_sequence_up",252,0,-3.3,5.5,-1.5,5.7
