volunteer_id,data_type,filename,check_name,status,reason,frame_index
102,face_rgb,102_face_rgb.mp4,check_container,PASS,"container ok (.mp4, 3 channels, codec=h264)",,
102,face_rgb,102_face_rgb.mp4,check_fps,PASS,fps=30.00 >= 5,,
102,face_rgb,102_face_rgb.mp4,check_duration,PASS,duration=44.1 >= 40,,
102,face_rgb,102_face_rgb.mp4,check_resolution,PASS,resolution=1080x1080 >= 180x180,,
102,face_rgb,102_face_rgb.mp4,check_face_detected,PASS,frame=0 face ok,0,0
102,face_rgb,102_face_rgb.mp4,check_face_size,PASS,frame=0 face=531x645 >= 180x180,0,0
102,face_rgb,102_face_rgb.mp4,check_head_fully,PASS,frame=0 Head is fully visible,0,0
102,face_rgb,102_face_rgb.mp4,check_eyes_open,FAIL,"frame=0 eye(s) closed (L=0.37, R=0.38 <= 0.37)",0,0
102,face_rgb,102_face_rgb.mp4,check_face_blur,PASS,frame=0 blur variance=303.2 >= 90,0,0
102,face_rgb,102_face_rgb.mp4,check_brightness,PASS,frame=0 brightness=121 status=normal,0,0
102,face_rgb,102_face_rgb.mp4,check_face_detected,PASS,frame=6 face ok,6,6
102,face_rgb,102_face_rgb.mp4,check_face_size,PASS,frame=6 face=531x642 >= 180x180,6,6
102,face_rgb,102_face_rgb.mp4,check_head_fully,PASS,frame=6 Head is fully visible,6,6
102,face_rgb,102_face_rgb.mp4,check_eyes_open,FAIL,"frame=6 eye(s) closed (L=0.37, R=0.38 <= 0.37)",6,6
102,face_rgb,102_face_rgb.mp4,check_face_blur,PASS,frame=6 blur variance=236.3 >= 90,6,6
102,face_rgb,102_face_rgb.mp4,check_brightness,PASS,frame=6 brightness=122 status=normal,6,6
102,face_rgb,102_face_rgb.mp4,check_face_detected,PASS,frame=12 face ok,12,12
102,face_rgb,102_face_rgb.mp4,check_face_size,PASS,frame=12 face=519x629 >= 180x180,12,12
102,face_rgb,102_face_rgb.mp4,check_head_fully,PASS,frame=12 Head is fully visible,12,12
102,face_rgb,102_face_rgb.mp4,check_eyes_open,FAIL,"frame=12 eye(s) closed (L=0.36, R=0.37 <= 0.37)",12,12
102,face_rgb,102_face_rgb.mp4,check_face_blur,PASS,frame=12 blur variance=222.5 >= 90,12,12
102,face_rgb,102_face_rgb.mp4,check_brightness,PASS,frame=12 brightness=122 status=normal,12,12
102,face_rgb,102_face_rgb.mp4,check_face_detected,PASS,frame=18 face ok,18,18
102,face_rgb,102_face_rgb.mp4,check_face_size,PASS,frame=18 face=513x625 >= 180x180,18,18
102,face_rgb,102_face_rgb.mp4,check_head_fully,PASS,frame=18 Head is fully visible,18,18
102,face_rgb,102_face_rgb.mp4,check_eyes_open,PASS,"frame=18 eyes open (L=0.37, R=0.37 > 0.37)",18,18
102,face_rgb,102_face_rgb.mp4,check_face_blur,PASS,frame=18 blur variance=208.7 >= 90,18,18
102,face_rgb,102_face_rgb.mp4,check_brightness,PASS,frame=18 brightness=120 status=normal,18,18
102,face_rgb,102_face_rgb.mp4,check_face_detected,PASS,frame=24 face ok,24,24
102,face_rgb,102_face_rgb.mp4,check_face_size,PASS,frame=24 face=510x619 >= 180x180,24,24
102,face_rgb,102_face_rgb.mp4,check_head_fully,PASS,frame=24 Head is fully visible,24,24
