volunteer_id,data_type,filename,check_level,check_name,final_status,total,pass,fail,review,skip,reason,frames_sampled,detection_gaps,yaw_min,yaw_max,pitch_min,pitch_max
103,face_rgb,103_face_rgb.mp4,video,check_container,PASS,1,1,0,0,0,"container ok (.mp4, 3 channels, codec=h264)",,,,,,
103,face_rgb,103_face_rgb.mp4,video,check_duration,FAIL,1,0,1,0,0,duration=14.3 < 40,,,,,,
103,face_rgb,103_face_rgb.mp4,video,check_fps,PASS,1,1,0,0,0,fps=60.00 >= 5,,,,,,
103,face_rgb,103_face_rgb.mp4,video,check_resolution,PASS,1,1,0,0,0,resolution=1080x1080 >= 180x180,,,,,,
103,face_rgb,103_face_rgb.mp4,video,frames_sampled,PASS,1,1,0,0,0,sampled 73 frames,,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence,FAIL,1,0,1,0,0,"structure mismatch; present=none; missing=['left', 'right', 'down', 'up']; short_holds=9; unconfirmed_gap=False",,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_down,FAIL,1,0,1,0,0,down: not present in segments,,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_down_hold,REVIEW,1,0,0,1,0,down held 7 frame(s) < 10 (too short),,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_front_hold,REVIEW,4,0,0,4,0,front held 5 frame(s) < 10 (too short),,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_left,FAIL,1,0,1,0,0,left: not present in segments,,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_left_hold,REVIEW,1,0,0,1,0,left held 8 frame(s) < 10 (too short),,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_right,FAIL,1,0,1,0,0,right: not present in segments,,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_right_hold,REVIEW,1,0,0,1,0,right held 7 frame(s) < 10 (too short),,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_structure,REVIEW,1,0,0,1,0,observed: front; matches no accepted order,,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_up,FAIL,1,0,1,0,0,up: not present in segments,,,,,,
103,face_rgb,103_face_rgb.mp4,sequence,check_turn_sequence_up_hold,REVIEW,2,0,0,2,0,up held 9 frame(s) < 10 (too short),,,,,,
103,face_rgb,103_face_rgb.mp4,frame,check_brightness,PASS,64,35,0,0,29,frame=252 non-frontal (label=left); not judged [judged fail-ratio=0% (max 25%)],,,,,,
103,face_rgb,103_face_rgb.mp4,frame,check_eyes_open,PASS,64,35,0,0,29,frame=252 non-frontal (label=left); not judged [judged fail-ratio=0% (max 25%)],,,,,,
103,face_rgb,103_face_rgb.mp4,frame,check_face_blur,PASS,64,35,0,0,29,frame=252 non-frontal (label=left); not judged [judged fail-ratio=0% (max 25%)],,,,,,
103,face_rgb,103_face_rgb.mp4,frame,check_face_detected,PASS,73,64,0,9,0,frame=276 No faces detected [judged fail-ratio=0% (max 25%)],,,,,,
103,face_rgb,103_face_rgb.mp4,frame,check_face_size,PASS,64,35,0,0,29,frame=252 non-frontal (label=left); not judged [judged fail-ratio=0% (max 25%)],,,,,,
103,face_rgb,103_face_rgb.mp4,frame,check_head_fully,PASS,64,59,5,0,0,frame=720 Chin might be cut [judged fail-ratio=8% (max 25%)],,,,,,
103,face_rgb,103_face_rgb.mp4,overall,OVERALL,FAIL,22,10,6,6,0,"failed checks: check_duration, check_turn_sequence, check_turn_sequence_down, check_turn_sequence_left, check_turn_sequence_right, check_turn_sequence_up",73,9,-73.0,68.0,-53.6,67.1
