volunteer_id,data_type,filename,check_name,status,reason,frame_index
103,face_rgb,103_face_rgb.mp4,check_container,PASS,"container ok (.mp4, 3 channels, codec=h264)",,
103,face_rgb,103_face_rgb.mp4,check_fps,PASS,fps=60.00 >= 5,,
103,face_rgb,103_face_rgb.mp4,check_duration,FAIL,duration=14.3 < 40,,
103,face_rgb,103_face_rgb.mp4,check_resolution,PASS,resolution=1080x1080 >= 180x180,,
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=0 face ok,0,0
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=0 face=505x607 >= 180x180,0,0
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=0 Head is fully visible,0,0
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=0 eye(s) closed (L=0.37, R=0.38 <= 0.37)",0,0
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=0 blur variance=366.3 >= 90,0,0
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=0 brightness=153 status=normal,0,0
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=12 face ok,12,12
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=12 face=506x602 >= 180x180,12,12
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=12 Head is fully visible,12,12
103,face_rgb,103_face_rgb.mp4,check_eyes_open,PASS,"frame=12 eyes open (L=0.37, R=0.38 > 0.37)",12,12
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=12 blur variance=318.7 >= 90,12,12
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=12 brightness=154 status=normal,12,12
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=24 face ok,24,24
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=24 face=507x605 >= 180x180,24,24
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=24 Head is fully visible,24,24
103,face_rgb,103_face_rgb.mp4,check_eyes_open,PASS,"frame=24 eyes open (L=0.37, R=0.38 > 0.37)",24,24
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=24 blur variance=382.9 >= 90,24,24
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=24 brightness=154 status=normal,24,24
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=36 face ok,36,36
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=36 face=510x612 >= 180x180,36,36
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=36 Head is fully visible,36,36
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=36 eye(s) closed (L=0.36, R=0.37 <= 0.37)",36,36
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=36 blur variance=331.5 >= 90,36,36
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=36 brightness=154 status=normal,36,36
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=48 face ok,48,48
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=48 face=510x609 >= 180x180,48,48
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=48 Head is fully visible,48,48
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=48 eye(s) closed (L=0.37, R=0.37 <= 0.37)",48,48
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=48 blur variance=359.4 >= 90,48,48
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=48 brightness=153 status=normal,48,48
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=60 face ok,60,60
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=60 face=510x613 >= 180x180,60,60
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=60 Head is fully visible,60,60
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=60 eye(s) closed (L=0.36, R=0.37 <= 0.37)",60,60
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=60 blur variance=375.4 >= 90,60,60
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=60 brightness=153 status=normal,60,60
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=72 face ok,72,72
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=72 face=509x613 >= 180x180,72,72
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=72 Head is fully visible,72,72
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=72 eye(s) closed (L=0.36, R=0.37 <= 0.37)",72,72
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=72 blur variance=369.4 >= 90,72,72
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=72 brightness=154 status=normal,72,72
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=84 face ok,84,84
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=84 face=506x615 >= 180x180,84,84
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=84 Head is fully visible,84,84
103,face_rgb,103_face_rgb.mp4,check_eyes_open,PASS,"frame=84 eyes open (L=0.37, R=0.37 > 0.37)",84,84
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=84 blur variance=376.0 >= 90,84,84
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=84 brightness=155 status=normal,84,84
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=96 face ok,96,96
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=96 face=508x615 >= 180x180,96,96
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=96 Head is fully visible,96,96
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=96 eye(s) closed (L=0.38, R=0.37 <= 0.37)",96,96
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=96 blur variance=372.3 >= 90,96,96
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=96 brightness=153 status=normal,96,96
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=108 face ok,108,108
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=108 face=506x616 >= 180x180,108,108
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=108 Head is fully visible,108,108
103,face_rgb,103_face_rgb.mp4,check_eyes_open,PASS,"frame=108 eyes open (L=0.37, R=0.38 > 0.37)",108,108
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=108 blur variance=395.0 >= 90,108,108
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=108 brightness=154 status=normal,108,108
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=120 face ok,120,120
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=120 face=509x618 >= 180x180,120,120
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=120 Head is fully visible,120,120
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=120 eye(s) closed (L=0.37, R=0.37 <= 0.37)",120,120
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=120 blur variance=425.7 >= 90,120,120
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=120 brightness=154 status=normal,120,120
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=132 face ok,132,132
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=132 face=510x618 >= 180x180,132,132
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=132 Head is fully visible,132,132
103,face_rgb,103_face_rgb.mp4,check_eyes_open,PASS,"frame=132 eyes open (L=0.37, R=0.38 > 0.37)",132,132
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=132 blur variance=399.1 >= 90,132,132
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=132 brightness=155 status=normal,132,132
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=144 face ok,144,144
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=144 face=508x617 >= 180x180,144,144
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=144 Head is fully visible,144,144
103,face_rgb,103_face_rgb.mp4,check_eyes_open,PASS,"frame=144 eyes open (L=0.37, R=0.37 > 0.37)",144,144
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=144 blur variance=407.9 >= 90,144,144
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=144 brightness=155 status=normal,144,144
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=156 face ok,156,156
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=156 face=508x617 >= 180x180,156,156
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=156 Head is fully visible,156,156
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=156 eye(s) closed (L=0.37, R=0.38 <= 0.37)",156,156
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=156 blur variance=392.0 >= 90,156,156
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=156 brightness=154 status=normal,156,156
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=168 face ok,168,168
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=168 face=507x614 >= 180x180,168,168
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=168 Head is fully visible,168,168
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=168 eye(s) closed (L=0.37, R=0.38 <= 0.37)",168,168
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=168 blur variance=409.0 >= 90,168,168
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=168 brightness=154 status=normal,168,168
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=180 face ok,180,180
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=180 face=507x615 >= 180x180,180,180
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=180 Head is fully visible,180,180
103,face_rgb,103_face_rgb.mp4,check_eyes_open,FAIL,"frame=180 eye(s) closed (L=0.37, R=0.38 <= 0.37)",180,180
103,face_rgb,103_face_rgb.mp4,check_face_blur,PASS,frame=180 blur variance=426.8 >= 90,180,180
103,face_rgb,103_face_rgb.mp4,check_brightness,PASS,frame=180 brightness=154 status=normal,180,180
103,face_rgb,103_face_rgb.mp4,check_face_detected,PASS,frame=192 face ok,192,192
103,face_rgb,103_face_rgb.mp4,check_face_size,PASS,frame=192 face=510x614 >= 180x180,192,192
103,face_rgb,103_face_rgb.mp4,check_head_fully,PASS,frame=192 Head is fully visible,192,192
