volunteer_id,data_type,filename,check_name,status,reason,frame_index
101,face_rgb,101_face_rgb.mp4,check_container,PASS,"container ok (.mp4, 3 channels, codec=h264)",,
101,face_rgb,101_face_rgb.mp4,check_fps,PASS,fps=30.00 >= 5,,
101,face_rgb,101_face_rgb.mp4,check_duration,FAIL,duration=27.6 < 40,,
101,face_rgb,101_face_rgb.mp4,check_resolution,PASS,resolution=1080x1080 >= 180x180,,
101,face_rgb,101_face_rgb.mp4,check_face_detected,PASS,frame=0 face ok,0,0
101,face_rgb,101_face_rgb.mp4,check_face_size,PASS,frame=0 face=501x608 >= 180x180,0,0
101,face_rgb,101_face_rgb.mp4,check_head_fully,PASS,frame=0 Head is fully visible,0,0
101,face_rgb,101_face_rgb.mp4,check_eyes_open,PASS,"frame=0 eyes open (L=0.37, R=0.38 > 0.37)",0,0
101,face_rgb,101_face_rgb.mp4,check_face_blur,PASS,frame=0 blur variance=228.3 >= 90,0,0
101,face_rgb,101_face_rgb.mp4,check_brightness,PASS,frame=0 brightness=126 status=normal,0,0
101,face_rgb,101_face_rgb.mp4,check_face_detected,PASS,frame=6 face ok,6,6
101,face_rgb,101_face_rgb.mp4,check_face_size,PASS,frame=6 face=501x609 >= 180x180,6,6
101,face_rgb,101_face_rgb.mp4,check_head_fully,PASS,frame=6 Head is fully visible,6,6
101,face_rgb,101_face_rgb.mp4,check_eyes_open,PASS,"frame=6 eyes open (L=0.37, R=0.38 > 0.37)",6,6
101,face_rgb,101_face_rgb.mp4,check_face_blur,PASS,frame=6 blur variance=195.3 >= 90,6,6
101,face_rgb,101_face_rgb.mp4,check_brightness,PASS,frame=6 brightness=126 status=normal,6,6
101,face_rgb,101_face_rgb.mp4,check_face_detected,PASS,frame=12 face ok,12,12
101,face_rgb,101_face_rgb.mp4,check_face_size,PASS,frame=12 face=500x607 >= 180x180,12,12
101,face_rgb,101_face_rgb.mp4,check_head_fully,PASS,frame=12 Head is fully visible,12,12
101,face_rgb,101_face_rgb.mp4,check_eyes_open,FAIL,"frame=12 eye(s) closed (L=0.37, R=0.38 <= 0.37)",12,12
101,face_rgb,101_face_rgb.mp4,check_face_blur,PASS,frame=12 blur variance=207.1 >= 90,12,12
101,face_rgb,101_face_rgb.mp4,check_brightness,PASS,frame=12 brightness=126 status=normal,12,12
101,face_rgb,101_face_rgb.mp4,check_face_detected,PASS,frame=18 face ok,18,18
101,face_rgb,101_face_rgb.mp4,check_face_size,PASS,frame=18 face=504x605 >= 180x180,18,18
101,face_rgb,101_face_rgb.mp4,check_head_fully,PASS,frame=18 Head is fully visible,18,18
101,face_rgb,101_face_rgb.mp4,check_eyes_open,PASS,"frame=18 eyes open (L=0.37, R=0.37 > 0.37)",18,18
101,face_rgb,101_face_rgb.mp4,check_face_blur,PASS,frame=18 blur variance=197.2 >= 90,18,18
101,face_rgb,101_face_rgb.mp4,check_brightness,PASS,frame=18 brightness=126 status=normal,18,18
101,face_rgb,101_face_rgb.mp4,check_face_detected,PASS,frame=24 face ok,24,24
101,face_rgb,101_face_rgb.mp4,check_face_size,PASS,frame=24 face=498x606 >= 180x180,24,24
101,face_rgb,101_face_rgb.mp4,check_head_fully,PASS,frame=24 Head is fully visible,24,24
101,face_rgb,101_face_rgb.mp4,check_eyes_open,FAIL,"frame=24 eye(s) closed (L=0.36, R=0.37 <= 0.37)",24,24
101,face_rgb,101_face_rgb.mp4,check_face_blur,PASS,frame=24 blur variance=199.0 >= 90,24,24
101,face_rgb,101_face_rgb.mp4,check_brightness,PASS,frame=24 brightness=126 status=normal,24,24
101,face_rgb,101_face_rgb.mp4,check_face_detected,PASS,frame=30 face ok,30,30
101,face_rgb,101_face_rgb.mp4,check_face_size,PASS,frame=30 face=499x609 >= 180x180,30,30
101,face_rgb,101_face_rgb.mp4,check_head_fully,PASS,frame=30 Head is fully visible,30,30
101,face_rgb,101_face_rgb.mp4,check_eyes_open,PASS,"frame=30 eyes open (L=0.37, R=0.38 > 0.37)",30,30
101,face_rgb,101_face_rgb.mp4,check_face_blur,PASS,frame=30 blur variance=210.0 >= 90,30,30
101,face_rgb,101_face_rgb.mp4,check_brightness,PASS,frame=30 brightness=126 status=normal,30,30
101,face_rgb,101_face_rgb.mp4,check_face_detected,PASS,frame=36 face ok,36,36
101,face_rgb,101_face_rgb.mp4,check_face_size,PASS,frame=36 face=505x607 >= 180x180,36,36
101,face_rgb,101_face_rgb.mp4,check_head_fully,PASS,frame=36 Head is fully visible,36,36
101,face_rgb,101_face_rgb.mp4,check_eyes_open,FAIL,"frame=36 eye(s) closed (L=0.37, R=0.37 <= 0.37)",36,36
101,face_rgb,101_face_rgb.mp4,check_face_blur,PASS,frame=36 blur variance=206.0 >= 90,36,36
